N_MODEL,HIDDEN_SIZE,N_LAYERS,DIRECTIONS,RECALL,PRECISION,F1,RECALL_WO_O,PRECISION_WO_O,F1_WO_O
Model1,500,1,1,0.8578487267198783,0.8323863591836709,0.8190825829638828,0.20739064856711917,0.6555098609350362,0.2960258570201064
Model2,500,2,1,0.8578487267198783,0.8344685443336188,0.8384177369176254,0.3438914027149321,0.5316283254772405,0.3974915889331743
Model3,500,3,1,0.8674775117192449,0.8265271103734558,0.8381426221933223,0.2956259426847662,0.530450122146483,0.3726713756015873
Model4,500,1,2,0.8905359179019384,0.882484663058244,0.8714525651140668,0.4117647058823529,0.795533887241065,0.5239877648445631
Model5,500,2,2,0.9143544913214241,0.9073555020649688,0.9066145866836824,0.5859728506787331,0.7699754237934376,0.655416825044949
Model6,500,3,2,0.9180286329659192,0.9136371032332485,0.9079371266945861,0.5558069381598794,0.8549154646069818,0.6639341716354491
Model7,800,1,2,0.8880020271126314,0.8840095880400767,0.8792341631570904,0.5354449472096531,0.6710745496178446,0.5643115112357476
Model8,800,2,2,0.919422272900038,0.9141304674759512,0.9118375852944087,0.6463046757164405,0.7767555932526572,0.6835137779259779
Model9,800,3,2,0.9024452046116812,0.9239053887955484,0.9084178957417057,0.6726998491704375,0.7498123468239464,0.6830733636787999
