N_MODEL,HIDDEN_SIZE,N_LAYERS,DIRECTIONS,RECALL,PRECISION,F1,RECALL_WO_O,PRECISION_WO_O,F1_WO_O
Model1,500,1,1,0.8781996845808565,0.8585613831678081,0.8570194234337349,0.4510739856801909,0.7140536634939004,0.535450185820213
Model2,500,2,1,0.8817178211816087,0.8652720226037841,0.8639561102002206,0.5023866348448688,0.6932759493744123,0.5559099450271886
Model3,500,3,1,0.8573334950867403,0.8266450707232674,0.8352706990423096,0.4081145584725537,0.5135672847173083,0.43226247620801295
Model4,500,1,2,0.9084071333252457,0.8931316207155768,0.8948474012727962,0.587708830548926,0.7681237557922788,0.6531413319281469
Model5,500,2,2,0.9269683367705932,0.9228488161582468,0.9227221568492698,0.7034606205250596,0.8430293928834095,0.7641830764268609
Model6,500,3,2,0.9217517893970641,0.9228511926168151,0.9207977797197907,0.7171837708830548,0.8033636923780467,0.7533100644273029
Model7,800,1,2,0.9116826398156012,0.90628032815841,0.90168164495469,0.5906921241050119,0.8533405719428213,0.6916924431620489
Model8,800,2,2,0.9245420356666262,0.9239862091518097,0.9161247068491181,0.6437947494033412,0.9254213654696559,0.7499510361451428
Model9,800,3,2,0.9309717335921388,0.9281740102646632,0.9288247841325926,0.7434367541766109,0.8281205596696166,0.7827392858539656
